作業日,作業予定名称,予定開始時間(xx:xx),作業終了日,予定の表示色
2024-07-24,リファクタリング,06:00-,RED
2024-07-25,リファクタリング,06:00-,RED
2024-07-26,リファクタリング,06:00-,RED
2024-07-27,リファクタリング,06:00-,RED
2024-07-28,リファクタリング,06:00-,RED
2024-07-29,テスト,06:00-,BLUE
2024-07-30,UML,06:00-,GREEN
2024-07-31,UML,06:00-,GREEN
2024-08-01,料理アプリ作成開始,06:00-,CYAN
2024-08-02,デザインパターンの理解,06:00-,GREEN
2024-08-03,コーディング,06:00-,CYAN
2024-08-04,コーディング,06:00-,CYAN
2024-08-05,コーディング,06:00-,CYAN
2024-08-06,コーディング,06:00-,CYAN
2024-08-07,瞼の手術 名古屋院,12:30-,ORANGE
2024-08-08,ハローワーク_区役所で住民票,13:00-,ORANGE
2024-08-09,OWNDAYS 鎌倉シャツ 各種手続き,06:00-,ORANGE
2024-08-10,コーディング 5:30に起きる,06:00-,CYAN
2024-08-11,コーディング 5:30に起きる,06:00-,CYAN
2024-08-12,コーディング、祝日20:00まで,06:00-,BLUE
2024-08-13,コーディング,06:00-,CYAN
2024-08-14,ハローワーク 紫の薬を飲み始める,14:00-,ORANGE
2024-08-15,コーディング,06:00-,CYAN
2024-08-16,リファクタリング,06:00-,RED
2024-08-17,リファクタリング,06:00-,RED
2024-08-18,リファクタリング,06:00-,RED
2024-08-19,リファクタリング,06:00-,RED
2024-08-20,リファクタリング,06:00-,RED
2024-08-21,エージェント登録,06:00-,ORANGE
2024-08-22,テスト,06:00-,BLUE
2024-08-23,テスト,06:00-,BLUE
2024-08-24,乃木坂LiveDay1,06:00-,ORANGE
2024-08-25,乃木坂LiveDay2,06:00-,ORANGE
2024-08-26,UML,06:00-,GREEN
2024-08-27,UML,06:00-,GREEN
2024-09-01,家計簿アプリ作成開始,06:00-,CYAN
2024-09-11,ハローワーク,06:00-,ORANGE
2024-09-16,祝日,06:00-,RED
2024-09-23,祝日,06:00-,RED
2024-09-27,SUSURUラーメンフェス1,06:00-,ORANGE
2024-09-28,SUSURUラーメンフェス2,06:00-,ORANGE
2024-09-29,SUSURUラーメンフェス3,06:00-,ORANGE
2024-09-30,SUSURUラーメンフェス4,06:00-,ORANGE
2024-10-01,SUSURUラーメンフェス5,06:00-,ORANGE
2024-10-02,就活開始,06:00-,ORANGE
2024-10-09,ハローワーク,06:00-,ORANGE
2024-10-13,応用情報技術者試験,06:00-,ORANGE
2024-11-06,ハローワーク,06:00-,ORANGE
