作業日,作業予定名称,予定開始時間(xx:xx),作業終了日,予定の表示色
2024-07-24,リファクタリング,06:00-,RED
2024-07-25,リファクタリング,06:00-,RED
2024-07-26,リファクタリング,06:00-,RED
2024-07-27,リファクタリング,06:00-,RED
2024-07-28,リファクタリング,06:00-,RED
2024-07-29,テスト,06:00-,BLUE
2024-07-30,UML,06:00-,GREEN
2024-07-31,UML,06:00-,GREEN
2024-08-01,料理アプリ作成開始,06:00-,CYAN
2024-08-02,デザインパターンの理解,06:00-,GREEN
2024-08-03,コーディング,06:00-,CYAN
2024-08-04,コーディング,06:00-,CYAN
2024-08-05,コーディング,06:00-,CYAN
2024-08-06,コーディング,06:00-,CYAN
2024-08-07,コーディング,06:00-,CYAN
2024-08-08,ハローワーク_区役所で住民票,13:00-,ORANGE
2024-08-09,OWNDAYS 鎌倉シャツ 各種手続き,06:00-,ORANGE
2024-08-10,国民年金支払い,06:00-,ORANGE
2024-08-11,コーディング 5:30に起きる,06:00-,CYAN
2024-08-12,コーディング、祝日20:00まで,06:00-,BLUE
2024-08-13,住民票 退職金,06:00-,ORANGE
2024-08-14,ハローワーク 紫の薬を飲み始める,14:00-,ORANGE
2024-08-15,コーディング,06:00-,CYAN
2024-08-16,リファクタリング 眼鏡の受取,06:00-,BLUE
2024-08-17,リファクタリング,06:00-,RED
2024-08-18,リファクタリング,06:00-,RED
2024-08-19,リファクタリング,06:00-,RED
2024-08-20,リファクタリング,06:00-,RED
2024-08-21,エージェント登録,06:00-,ORANGE
2024-08-22,リファクタリング,06:00-,RED
2024-08-23,リファクタリング,06:00-,RED
2024-08-24,乃木坂LiveDay1,15:00-,ORANGE
2024-08-25,乃木坂LiveDay2,15:00-,ORANGE
2024-08-26,履歴書作成,06:00-,GREEN
2024-08-27,Git,06:00-,CYAN
2024-08-28,家計簿アプリ作成開始,06:00-,CYAN
2024-08-31,Spring,06:00-,BLUE
2024-09-01,SpringとGit,06:00-,BLUE
2024-09-02,Git,06:00-,GREEN
2024-09-03,GitとDocker,06:00-,BLUE
2024-09-04,Docker,06:00-,BLUE
2024-09-05,コーディング,06:00-,CYAN
2024-09-06,コーディング データの取得まで,06:00-,CYAN
2024-09-07,コーディング データの取得まで,06:00-,CYAN
2024-09-08,コーディング データの取得まで,06:00-,CYAN
2024-09-09,コーディング,06:00-,CYAN
2024-09-10,統計処理,06:00-,CYAN
2024-09-11,統計処理,06:00-,CYAN
2024-09-12,ログイン機能,06:00-,CYAN
2024-09-13,美容院に行った後、ハローワーク、docker,06:00-,BLUE
2024-09-14,アプリdocker実装完了,06:00-,CYAN
2024-09-15,バグ修正,06:00-,CYAN
2024-09-16,祝日、デプロイ,06:00-,RED
2024-09-17,springの本を見て調整,06:00-,CYAN
2024-09-18,リファクタリング,06:00-,CYAN
2024-09-19,リファクタリング,06:00-,CYAN
2024-09-20,レシピアプリの水平展開,06:00-,CYAN
2024-09-21,履歴書作成,06:00-,RED
2024-09-22,面接の準備、対策をサイトを巡回して調べる,06:00-,GREEN
2024-09-23,祝日、アプリのアップロード,06:00-,RED
2024-09-24,ハローワークで職業相談の予約,06:00-,BLUE
2024-09-25,履歴書を作成して就職相談に備える,06:00-,RED
2024-09-26,ハローワークで就職相談,06:00-,GREEN
2024-09-27,ラーメンフェス、しょうじさん,12:30-,RED
2024-09-28,履歴書作成,06:00-,ORANGE
2024-09-29,レシピアプリの水平展開,06:00-,BLUE
2024-09-30,ラーメンフェス、レシピアプリの水平展開,06:00-,RED
2024-10-01,ラーメンフェス、ハローワーク,16:00-,RED
2024-10-02,herokuにデータをアップロード,06:00-,CYAN
2024-10-03,水平展開,06:00-,CYAN
2024-10-04,水平展開,06:00-,CYAN
2024-10-05,アプリ残件,06:00-,ORANGE
2024-10-06,アプリ残件,06:00-,ORANGE
2024-10-07,写真を撮る,06:00-,GREEN
2024-10-08,SBC名古屋院,17:30-,RED
2024-10-09,ハローワーク,10:30-,RED
2024-10-13,応用情報技術者試験,09:30-,RED
2024-11-06,ハローワーク,06:00-,ORANGE
